id,prefix,section,checkpoint,template_tool,template_priority,tier,collector
EEAT-17,EEAT,12. E-E-A-T Audit,Refund Policy (if applicable),Manual Review,Medium,A,crawl: refund/return policy page detection
EEAT-18,EEAT,12. E-E-A-T Audit,Disclosure pages,Manual Review,Medium,A,crawl: disclosure/disclaimer page detection
EEAT-19,EEAT,12. E-E-A-T Audit,HTTPS trust,Manual Review,Medium,A,TLS check (dupe of SEC-09)
EEAT-20,EEAT,12. E-E-A-T Audit,Business information,Manual Review,Medium,B,LLM judgment over crawl artifact
EEAT-21,EEAT,12. E-E-A-T Audit,Customer support information,Manual Review,Medium,B,LLM judgment over crawl artifact
EEAT-22,EEAT,12. E-E-A-T Audit,Testimonials,Manual Review,Medium,B,LLM judgment over crawl artifact
EEAT-23,EEAT,12. E-E-A-T Audit,Reviews,Manual Review,Medium,B,LLM judgment over crawl artifact
EEAT-24,EEAT,12. E-E-A-T Audit,Trust badges,Manual Review,Medium,A,crawl: trust badge image/alt heuristics
GEO-01,GEO,13. AI SEO / GEO,llms.txt not found,SEMrush Site Audit,Low,A,fetch /llms.txt
GEO-02,GEO,13. AI SEO / GEO,llms.txt file has formatting issues,SEMrush Site Audit,Low,A,parse /llms.txt structure
GEO-03,GEO,13. AI SEO / GEO,llms.txt implementation,Manual Review,Medium,A,fetch + parse /llms.txt
GEO-04,GEO,13. AI SEO / GEO,AI crawler accessibility,Manual Review,Medium,A,"robots.txt parse: GPTBot, ClaudeBot, PerplexityBot, Google-Extended, CCBot, Bingbot"
GEO-05,GEO,13. AI SEO / GEO,AI-friendly site architecture,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-06,GEO,13. AI SEO / GEO,AI-readable HTML,Manual Review,Medium,A,"crawl: semantic HTML ratio, JS-dependency of main content"
GEO-07,GEO,13. AI SEO / GEO,AI-friendly content formatting,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-08,GEO,13. AI SEO / GEO,Clear heading hierarchy,Manual Review,Medium,A,crawl: heading hierarchy validity
GEO-09,GEO,13. AI SEO / GEO,Question-answer content,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-10,GEO,13. AI SEO / GEO,FAQ optimization,Manual Review,Medium,A,crawl: FAQPage schema + Q&A block detection
GEO-11,GEO,13. AI SEO / GEO,Conversational content,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-12,GEO,13. AI SEO / GEO,Entity optimization,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-13,GEO,13. AI SEO / GEO,Knowledge Graph optimization,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-14,GEO,13. AI SEO / GEO,Semantic relationships,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-15,GEO,13. AI SEO / GEO,Citation-worthy content,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-16,GEO,13. AI SEO / GEO,Original research,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-17,GEO,13. AI SEO / GEO,Statistics & data usage,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-18,GEO,13. AI SEO / GEO,Expert quotes,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-19,GEO,13. AI SEO / GEO,Structured data completeness,Manual Review,Medium,A,schema coverage matrix from crawl
GEO-20,GEO,13. AI SEO / GEO,Author entity optimization,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-21,GEO,13. AI SEO / GEO,Organization entity optimization,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-22,GEO,13. AI SEO / GEO,Brand entity optimization,Manual Review,Medium,B,LLM judgment over crawl artifact
GEO-23,GEO,13. AI SEO / GEO,AI Overview optimization,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-24,GEO,13. AI SEO / GEO,Featured Snippet optimization,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-25,GEO,13. AI SEO / GEO,Passage Ranking optimization,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-26,GEO,13. AI SEO / GEO,Bing Copilot optimization,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-27,GEO,13. AI SEO / GEO,ChatGPT visibility,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-28,GEO,13. AI SEO / GEO,Perplexity visibility,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-29,GEO,13. AI SEO / GEO,Gemini visibility,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
GEO-30,GEO,13. AI SEO / GEO,Claude visibility,Manual Review,Medium,A*,ai_visibility: scripted query panel vs each platform
OFF-01,OFF,14. Off-Page SEO & Authority,Total backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-02,OFF,14. Off-Page SEO & Authority,Referring domains,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-03,OFF,14. Off-Page SEO & Authority,Referring IPs,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-04,OFF,14. Off-Page SEO & Authority,Referring subnets,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-05,OFF,14. Off-Page SEO & Authority,Domain Authority,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-06,OFF,14. Off-Page SEO & Authority,Authority Score,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-07,OFF,14. Off-Page SEO & Authority,Trust Score,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-08,OFF,14. Off-Page SEO & Authority,Spam Score,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-09,OFF,14. Off-Page SEO & Authority,Toxic backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-10,OFF,14. Off-Page SEO & Authority,Lost backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-11,OFF,14. Off-Page SEO & Authority,New backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-12,OFF,14. Off-Page SEO & Authority,Broken backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-13,OFF,14. Off-Page SEO & Authority,Follow/Nofollow ratio,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-14,OFF,14. Off-Page SEO & Authority,Anchor text diversity,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-15,OFF,14. Off-Page SEO & Authority,Branded anchors,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-16,OFF,14. Off-Page SEO & Authority,Exact match anchors,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-17,OFF,14. Off-Page SEO & Authority,Naked URL anchors,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-18,OFF,14. Off-Page SEO & Authority,Image backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-19,OFF,14. Off-Page SEO & Authority,Homepage backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-20,OFF,14. Off-Page SEO & Authority,Deep page backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-21,OFF,14. Off-Page SEO & Authority,Link gap analysis,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-22,OFF,14. Off-Page SEO & Authority,Competitor backlinks,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-23,OFF,14. Off-Page SEO & Authority,Guest posting opportunities,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-24,OFF,14. Off-Page SEO & Authority,Digital PR opportunities,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-25,OFF,14. Off-Page SEO & Authority,Resource page opportunities,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-26,OFF,14. Off-Page SEO & Authority,Broken link building,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-27,OFF,14. Off-Page SEO & Authority,HARO opportunities,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-28,OFF,14. Off-Page SEO & Authority,Brand mention opportunities,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
OFF-29,OFF,14. Off-Page SEO & Authority,Unlinked brand mentions,Ahrefs / Semrush,Medium,A,Ahrefs / Semrush
